Codigo,Nombre,Provincia,Normativa de creaciÑn,Auxiliarato,Tecnicatura,Grado universitario,Dependencia,Habilitado,CUE
1000,CENTRO DE FORMACION PROFESIONAL DE GESTION PRIVADA SAN FRANCISCO DIPREGEP N 7460,CABA,DIPREGEP N 7460,SI,SI,SI,Privado,SI,null
1001,ESCUELA DE ESPECIALIDADES  DE LA CRUZ ROJA ARGENTINA  B 861(FILIAL QUILMES) DIPREGEP N°4601,Buenos Aires,DIPREGEP 4601,NO,SI,NO,null,SI,60199500
1002,DIRECCION DE CAPACITACION DE TECNICOS DE LA SALUD - A.T.S.A HURLINGHAM,Buenos Aires,null,NO,SI,NO,null,SI,null
1003,DIRECCION DE CAPACITACION DE TECNICOS DE LA SALUD - FUNDACION ARGENTINA DE ESTUDIOS E INVESTIGACIONES,CABA,null,SI,SI,SI,null,SI,null
1004,HOSPITAL TERESA DE CALCUTA,Buenos Aires,null,SI,SI,SI,null,SI,null
1005,DIRECCION DE CAPACITACION DE TECNICOS DE LA SALUD - H.Z.G.A.D. EVITA PUEBLO,Buenos Aires,null,SI,SI,SI,null,SI,null
1007,DIRECCION DE CAPACITACION DE TECNICOS DE LA SALUD - HOSPITAL DR. H. J. AGNILLO DE MARCOS PAZ,Buenos Aires,null,SI,SI,SI,null,SI,null
1008,DIRECCION DE CAPACITACION DE TECNICOS DE LA SALUD - HOSPITAL GENERAL ZONAL DE AGUDOS MANUEL BELGRANO DE SAN MARTIN,Buenos Aires,null,SI,SI,SI,null,SI,null
1009,DIRECCION DE CAPACITACION DE TECNICOS DE LA SALUD - HOSPITAL GENERAL JOSE DE SAN MARTIN DE CARHUÑ,Buenos Aires,null,SI,SI,SI,null,SI,null
1010,DIRECCION DE CAPACITACION DE TECNICOS DE LA SALUD - HOSPITAL MUNICIPAL FRANCISCO CARAM DE BRANDSEN,Buenos Aires,null,SI,SI,SI,null,SI,null
1011,DIRECCION DE CAPACITACION DE TECNICOS DE LA SALUD - HOSPITAL OSTACIANA B. LAVIGNOLLE DE MORON,Buenos Aires,null,SI,SI,SI,null,SI,null
1012,DIRECCION DE CAPACITACION DE TECNICOS DE LA SALUD - HOSPITAL ZONAL GENERAL DE AGUDOS BLAS DUBARRY,Buenos Aires,null,SI,SI,SI,null,SI,null
1013,DIRECCION DE CAPACITACION DE TECNICOS DE LA SALUD - SINDICATO DE TRABAJADORES MUNICIPALES DE LA MATANZA,Buenos Aires,null,SI,SI,SI,null,SI,null
1014,ESCUELA SUPERIOR DE SALUD PUBLICA,Chaco,null,SI,SI,SI,null,SI,220089900
1015,DIR DE CAPACITACION Y ESCUELA SUPERIOR DE SALUD -HOSPITAL MUNICIPAL DE PILAR CIRILO SANGUINETTI,Buenos Aires,null,SI,SI,SI,null,SI,null
1016,ESCUELA CRUZ ROJA ARGETINA B 726 F. DOMINICO  DIPREGEP N°  4099/5827,Buenos Aires,SUPERIOR DIPREGEP 5827 // MEDIA DIPREGEP 4099,SI,SI,NO,null,SI,61421100
1017,ESCUELA DE ENFERMERIA DE  CRUZ ROJA ARGENTINA (MORON) DIPREGEP 4760-4785,Buenos Aires,Dipregep 4760-4785/ B 751,SI,SI,SI,null,SI,60611700
1018,ESCUELA DE ENFERMERIA DE LA CRUZ ROJA ARGENTINA B 732 - ADROGUE DIPREGEP N° 4069/5679,Buenos Aires,DIPREGEP N 4069-5679,SI,SI,NO,null,SI,61578100
1019,ESCUELA DE ENFERMERIA DE LA CRUZ ARGENTINA,Buenos Aires,DIPREGEP N 4250,SI,SI,NO,null,SI,62089400
1020,ESCUELA DE ENFERMERIA DE LA CRUZ ROJA ARGENTINA B 742 (VICENTE LOPEZ - FLORIDA) DIPREGEP  4849/4996,Buenos Aires,DIPREGEP N 4849/4996,NO,SI,SI,null,SI,61337200
1021,ESCUELA DE ENFERMERIA DE LA CRUZ ROJA ARGENTINA  B 716 FILIAL LA PLATA DIPREGEP 4028,Buenos Aires,DIPREGEP 4028,SI,SI,SI,null,SI,null
1022,ESCUELA DE ENFERMERIA DE LA CRUZ ROJA ARGENTINA FILIAL SAN ANDRES DIPREGEP 4268,Buenos Aires,null,SI,SI,SI,null,SI,"null,"
1023,ESCUELA DE ENFERMERIA DE LA CRUZ ROJA ARGENTINA - DIPREGEP 4807-TANDIL,Buenos Aires,null,SI,SI,SI,null,SI,61532500
1024,ESCUELA DE ENFERMERIA DEL HOSPITAL PRIVADO DE LA COMUNIDAD B  925 DIPREGEP N° 4247,Buenos Aires,DIPREGEP N 4247,SI,SI,SI,null,SI,60051400
1025,ESCUELA DE ENFERMERIA CRUZ ROJA ARG. DR PABLO OGALLAR DIPREGEP 4718/4726,Buenos Aires,DIPREGEP 4718/4726,SI,SI,SI,null,SI,60167400
1026,ESCUELA DE ENFERMERIA FLORENCIA NIGHTINGALE 4296,Buenos Aires,null,SI,SI,SI,null,SI,"null,"
1027,ESCUELA DE ENFERMERIA INSTITUTO CRUZ ROJA ARGENTINA B 715 - SAN ISIDRO DIPREGEP 4709/4649,Buenos Aires,DIPREGEP 4709/4649,NO,SI,SI,null,SI,61233400
1028,ESCUELA DE ENFERMERIA SAN MIGUEL ARCANGEL,Buenos Aires,null,SI,SI,SI,null,SI,61621000
1029,ESCUELA DE ENFERMERIA Y ESPECIALIDADES PARAMEDICAS CRUZ ROJA ARG. - TEMPERLEY DIPREGEP 4406/4426,Buenos Aires,DIPREGEP 4406/4426,SI,SI,SI,null,SI,60831300
1030,ESCUELA DE ENFERMERIA Y ESPECIALIDADES PARAMEDICA CRUZ ROJA ARGENTINA - LUJAN DIPREGEP N° 5003/4436,Buenos Aires,DIPREGEP 5003/4436,SI,SI,SI,null,SI,60877900
1031,ESCUELA DE FORMACION SUPERIOR DE CRUZ ROJA FILIAL BAHIA BLANCA- DIPREGEP 5626,Buenos Aires,DIPREGEP 5626,SI,SI,SI,null,SI,"null,"
1032,ESCUELA DE FORMACION DE AGENTES PARA LA SALUD DE LA CLINICA PRIVADA PUEYRREDON,Buenos Aires,null,SI,SI,SI,null,SI,"null,"
1033,ESCUELA DE INSTRUMENTACION QUIRURGICA HOSPITAL DR. DIEGO E. THOMPSON,Buenos Aires,null,SI,SI,SI,null,SI,"null,"
1034,INST. GUMERCINDA DEL CARMEN CASSATTI DIPREGEP 5005/5006  BERAZATEGUI,Buenos Aires,DIPREGEP 5005/5006,SI,SI,SI,null,SI,61421900
1035,ESCUELA DE SUBOFICIALES DE LA ARMADA,Buenos Aires,null,SI,SI,SI,null,SI,69003100
1036,ESCUELA MUNICIPAL DE ENFERMERIA MARIA REMEDIOS DEL VALLE,Buenos Aires,null,NO,SI,SI,null,SI,"null,"
1037,ESCUELA PRIVADA DE SANIDAD DIPREGEPN° 5832,Buenos Aires,Res. de la DirecciÑn General de Cultura y Educación N 5832,SI,SI,SI,null,SI,61481300
1038,ESCUELA SUPERIOR DE SANIDAD - HOSPITAL PETRONA VILLEGAS DE CORDERO,Buenos Aires,null,SI,SI,SI,null,SI,"null,"
